Naca foil,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Mach,Reynolds number,Max thickness,Max thickness location,Max camber,Max camber location,TE gap,LE radius,TE angle
12,-8,-0.9477,0.00831,0.00412,-0.0069,0.9756,0.0192,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7.5,-0.8906,0.00792,0.0037,-0.0054,0.9589,0.022,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7,-0.8326,0.00757,0.00332,-0.0042,0.9387,0.025,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6.5,-0.7739,0.00725,0.00295,-0.0032,0.9139,0.0295,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6,-0.7149,0.00696,0.00262,-0.0025,0.8839,0.0355,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5.5,-0.6557,0.00669,0.00231,-0.0018,0.8491,0.0435,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5,-0.5963,0.00648,0.00204,-0.0013,0.8097,0.0532,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4.5,-0.5367,0.00626,0.00178,-0.0009,0.7688,0.0681,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3.5,-0.4176,0.00588,0.00136,-0.0004,0.6817,0.1097,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3,-0.3581,0.00571,0.00119,-0.0002,0.6373,0.1402,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2.5,-0.2988,0.00553,0.00103,0,0.5932,0.1771,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2,-0.239,0.00541,0.00092,0,0.5514,0.2129,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1.5,-0.1794,0.00529,0.00083,0.0001,0.509,0.2557,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1,-0.1196,0.00521,0.00076,0.0001,0.4677,0.297,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0,0,0.00514,0.00071,0,0.3823,0.3826,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0.5,0.0599,0.00517,0.00072,0,0.3393,0.4237,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1,0.1196,0.00521,0.00076,-0.0001,0.2974,0.4667,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1.5,0.1795,0.00529,0.00082,-0.0001,0.2562,0.5086,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2,0.2391,0.0054,0.00092,0,0.2142,0.5513,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2.5,0.2987,0.00554,0.00104,0,0.1763,0.5941,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3,0.3582,0.0057,0.00118,0.0002,0.1405,0.6377,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3.5,0.4176,0.00588,0.00136,0.0004,0.1096,0.6813,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4.5,0.5367,0.00626,0.00178,0.0009,0.0681,0.7689,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5,0.5963,0.00648,0.00204,0.0013,0.0532,0.8096,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5.5,0.6557,0.00669,0.00231,0.0018,0.0435,0.8491,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
